Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Note,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tobacco and Alcohol,"Teen Tobacco Use, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,"Percentage of 9th-12th grade students who used cigarettes, smokeless tobacco, cigars, or electronic vapor products on at least one day in the past 30 days.",,,,,,,,,,,,,,,,,,0.276,
Tobacco and Alcohol,"Smoking-Attributable Mortality Rate per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2014,"Age-adjusted rate of deaths attributable to smoking per 100,000 adults 35 years and older. This measure is based on CDC's Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) methodology.",,"The methods for calculating premature death have been updated since prior reports, and all data years have been recalculated.",,,,,495.500,497.300,491.500,487.800,510.300,505.900,463.600,486.500,471.000,463.300,468.000,,
Tobacco and Alcohol,Secondhand Smoke Exposure at Home Among Children,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2004-2014/15,Percentage of children under 18 who live with an adult who smokes in the home.,,,,,,,0.280,,0.253,,0.231,,0.175,,0.154,,,0.137,
Tobacco and Alcohol,Adult Binge Drinking,,Percentage,Behavioral Risk Factor Surveillance System (BRFSS),2002-2012,Percentage of adults reporting binge drinking.,,"The Centers for Disease Control and Prevention definte binge drinking as drinking 5 or more drinks on an occasion for men or 4 or more drinks on an occasion for women. Binge drinking is no longer being tracked separately and will be combined with heavy drinking beginning in 2014. Please note that data years differ across dimensions for this indicator.
",,,0.153,0.198,0.206,0.145,0.148,0.133,0.147,0.172,0.163,0.247,0.187,,,,
Tobacco and Alcohol,Adult Excessive Drinking,,Percentage,Behavioral Risk Factor Surveillance System (BRFSS) as reported by the 2017 County Health Rankings & Roadmaps,2014-2015,Percentage of adults reporting binge or heavy drinking.,,"The Centers for Disease Control and Prevention definte binge drinking as drinking 5 or more drinks on an occasion for men or 4 or more drinks on an occasion for women and heavy drinking as drinking 15 or more drinks per week for men, or 8 or more drinks per week for women. Binge drinking is no longer being tracked separately and will be combined with heavy drinking beginning in 2014. Please note that data years differ across dimensions for this indicator.",,,,,,,,,,,,,,,0.192,0.195,
Tobacco and Alcohol,"Teen Binge Drinking, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of 9th-12th grade students who had 5 or more alcoholic drinks in a row within a couple hours on at least one day in past 30 days.,,Data is not available for 2005.,,0.136,,0.122,,,,0.135,,0.152,,0.152,,0.139,,0.108,
Obesity,"Child Obesity Prevalence, 5-18 Years of Age",,Percentage,School District of Philadelphia,2007-2015,"Percentage of children, age 5 to 18 years, enrolled in the School District of Philadelphia (SDP) with a body mass index (BMI) greater than or equal to the 95th percentile for their age and gender group based on 2000 Centers for Disease Control growth charts. BMI data are based on nurse-measured heights and weights.",,"Data are by school year. For example, 2005 refers to the school year spanning fall 2004 and spring 2005.",,,,,,,,0.217,0.214,0.208,0.207,0.209,0.207,0.203,0.202,0.206,
Obesity,Adult Obesity Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults with BMI greater than or equal to 30kg/m2, based on self-reported height and weight.",,,0.252,,0.280,,0.262,,0.278,,0.291,,0.322,,0.319,,,0.333,
Obesity,Adults Drinking ≥ 1 Sugary Drink Daily,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2010-2014/15,"Percentage of adults who drank soda, sweetened fruit drinks, and/or bottled teas at least once a day for past 30 days. Respondents were instructed ""do not include diet soda/drinks.""",,,,,,,,,,,,,0.374,,0.354,,,0.316,
Obesity,"Teens Drinking ≥ 1 Soda Daily, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2007-2015,"Percentage of 9th-12th grade students who drank soda at least once a day for past 30 days. Respondents were instructed ""Do not count diet soda or diet pop.""",,"Examples provided to respondents included Coke, Pepsi, and Sprite.",,,,,,,,0.311,,0.280,,0.250,,0.237,,0.216,
Cardiovascular Disease and Diabetes,"Premature Cardiovascular Disease (CVD) Mortality Rate per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2014,"Age-adjusted rate per 100,000 persons of CVD deaths to persons under 65 years of age.",,,66.100,67.700,65.300,62.000,60.300,61.900,62.000,62.300,57.700,56.300,56.200,55.900,51.500,59.600,60.600,,
Cardiovascular Disease and Diabetes,Adult Hypertension Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,Percentage of adults who have been told by a doctor or other health professional that they have high blood pressure or hypertension. Excludes respondents with a history of gestational hypertension only.,,,0.313,,0.327,,0.296,,0.340,,0.357,,0.359,,0.375,,,0.382,
Cardiovascular Disease and Diabetes,Adult Diabetes Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,Percentage of adults who have been told by a doctor or other health professional that they have or have had diabetes. Excludes respondents with a history of gestational diabetes only.,,,0.094,,0.101,,0.109,,0.120,,0.130,,0.134,,0.160,,,0.154,
HIV,"New HIV Diagnoses per 100,000 People",,Rate,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2016,"Rate of new HIV diagnoses per 100,000 of the population.",,,,,,,,,61.200,59.900,60.900,58.900,47.800,44.200,47.800,44.200,37.100,35.400,31.500
HIV,New HIV Diagnoses from Male-to-Male Sexual Contact,,Count,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2016,Count of new HIV diagnoses from male-to-male sexual contact.,,,,,,,,,252.000,281.000,305.000,333.000,305.000,286.000,300.000,332.000,291.000,309.000,270.000
HIV,New HIV Diagnoses from Heterosexual Contact,,Count,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2016,Count of new HIV diagnoses from heterosexual contact.,,Data not available for Heterosexual Contact for 2009.,,,,,,,459.000,547.000,447.000,,316.000,313.000,313.000,250.000,225.000,187.000,162.000
HIV,New HIV Diagnoses from Injection Drug Use,,Count,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2016,Count of new HIV diagnoses from injection drug use.,,,,,,,,,209.000,150.000,127.000,103.000,76.000,70.000,83.000,40.000,40.000,30.000,27.000
HIV,Retention in HIV/AIDS Care,,Percentage,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2011-2016,"Percentage of persons living with diagnosed HIV having had 2 or more CD4 or viral load test results, at least 3 months apart, during a 12 month period.",,,,,,,,,,,,,,0.445,0.471,0.473,0.474,0.500,0.499
HIV,Viral Suppression,,Percentage,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2011-2016,"Percentage of persons diagnosed living with HIV, who were alive at year end and had a viral load < 200 at most recent test. Persons diagnosed living with HIV whose viral load was not assessed were considered unsuppressed.",,,,,,,,,,,,,,0.456,0.500,0.506,0.511,0.538,0.547
HIV,"Adults Never Tested for HIV, 18-39 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-39 years old, reporting ""never"" to the question, ""The next question is about the test for HIV, the virus that causes AIDS. About how long has it been since you last had a test for HIV? Would you say one year or less, more than one year, up to two years, more than 2 years, or never?""",,,0.369,,0.363,,0.349,,0.293,,0.263,,0.238,,0.232,,,0.256,
Teen Sexual Health,"Teens Who Are Currently Sexually Active, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of 9th-12th grade students who reported having had sexual intercourse during the past 3 months.,,Data are not available for 2005.,,0.421,,0.476,,,,0.445,,0.465,,0.449,,0.377,,0.372,
Teen Sexual Health,"Teens Who Used Condom with Last Sexual Encounter, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of sexually active 9th-12th grade students who reported using a condom during the most recent sexual intercourse. Respondents are considered sexually active if they report intercourse with at least one person in the three months preceding the survey.,,Data are not available for 2005.,,0.643,,0.702,,,,0.644,,0.628,,0.596,,0.578,,0.559,
Teen Sexual Health,"Teens Who Used Birth Control with Last Sexual Encounter, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of sexually active 9th-12th grade students who used some form of birth control during the most recent sexual intercourse. Respondents are considered sexually active if they report intercourse with at least one person in the three months preceding the survey.,,Data are not available for 2005.,,0.836,,0.854,,,,0.810,,0.805,,0.788,,0.792,,0.829,
Teen Sexual Health,"Teen Births per 1,000 Teen Girls, 15-19 Years of Age",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2003-2014,"Birth rate per 1,000 teen girls age 15-19 years.",,,,,,59.100,57.900,58.500,59.800,59.500,57.100,53.700,50.500,49.100,47.200,38.400,34.900,,
Teen Sexual Health,"Teen Chlamydia Rate per 100,000 Teens, 15-19 Years of Age",,Rate,"Division of Disease Control, Philadelphia Department of Public Health",2000-2016,"Diagnosed chlamydia infection rate per 100,000 teens age 15-19 years.",,,4785.000,4747.000,5272.800,6707.300,6146.300,5823.800,6325.200,6363.100,6484.100,7000.800,7024.700,7014.600,6610.500,5916.500,5135.400,4837.000,5050.000
Teen Sexual Health,"Teen Gonorrhea Rate per 100,000 Teens, 15-19 Years of Age",,Rate,"Division of Disease Control, Philadelphia Department of Public Health",2000-2016,"Diagnosed gonorrhea infection rate per 100,000 teens age 15-19 years.",,,2073.200,2044.200,2015.300,1598.000,1332.400,1389.300,1315.300,1377.600,1414.600,1392.000,1798.000,1966.200,1834.400,1418.600,1235.000,1217.300,1167.000
Maternal and Infant Health,"Infant Mortality Rate per 1,000 Live Births",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2014,"Mortality rate per 1,000 live-born infants under one year of age.",,,10.300,10.800,10.600,10.700,10.500,11.300,11.200,11.400,10.000,9.800,10.700,9.300,10.100,8.200,7.800,,
Maternal and Infant Health,Low Birth Weight Births,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2009-2014,"Percentage of live-born infants weighing less than 2,500 grams - or 5 pounds 8 ounces - at birth.",,,,,,,,,,,,0.112,0.109,0.113,0.104,0.107,0.107,,
Maternal and Infant Health,Late or No Prenatal Care,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2003-2014,"Percentage of women who received prenatal care either in the third trimester or not at all, out of all women giving birth within the year, for whom the timing of prenatal care is known.",,,,,,0.119,0.117,0.118,0.130,0.132,0.143,0.155,0.155,0.131,0.122,0.139,0.133,,
Maternal and Infant Health,Breastfeeding Initiation,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2009-2014,"Percentage of women initiating breastfeeding before hospital discharge, out of all women for whom breastfeeding status is known.",,"The methods for calculating breastfeeding initiation have been updated since prior reports, and all data years have been recalculated.",,,,,,,,,,0.616,0.604,0.623,0.667,0.714,0.773,,
Child Health,"Children Up to Date on Immunizations, 19-35 Months of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2000-2016,"Percentage of children, age 19-35 months, who have completed the recommended vaccination schedule 4:3:1:3 (DTaP : IPV : MMR : Hib).",,,0.451,0.530,0.628,0.670,0.660,0.674,0.714,0.673,0.652,0.691,0.747,0.749,0.798,0.804,0.777,0.761,0.769
Child Health,"Asthma Hospitalization Rate per 10,000 Children, < 18 Years of Age",,Rate,Pennsylvania Health Care Cost Containment Council,2000-2015,"Age-adjusted rate of hospital discharges with a primary diagnosis of asthma per 100,000 children under 18 years of age.",,"The methods for calculating asthma hospitalization have been updated since prior reports, and all data years have been recalculated.",73.600,87.900,81.000,98.100,84.000,79.900,90.200,94.000,85.300,71.200,94.600,98.800,97.100,85.600,71.000,59.500,
Child Health,"Newly Identified Elevated Blood Lead Levels (5-9 mcg/dL) in Children, < 6 Years of Age",,Percentage,"Pennsylvania's National Electronic Disease Surveillance System (PA-NEDSS), as reported by Environmental Health Services, Philadelphia Department of Public Health",2006-2016,"Percentage of children, 0-5 years old, with newly identified blood lead levels (BLLs) from 5-9 mcg/dL using any blood specimens for screening.",,,,,,,,,0.238,0.180,0.139,0.100,0.089,0.063,0.063,0.058,0.057,0.050,0.049
Child Health,"Newly Identified Elevated Blood Lead Levels (10+ mcg/dL) in Children, < 6 Years of Age",,Percentage,"Pennsylvania's National Electronic Disease Surveillance System (PA-NEDSS), as reported by Environmental Health Services, Philadelphia Department of Public Health",2006-2016,"Percentage of children, 0-5 years old, with newly identified blood lead levels (BLLs) at or above 10 mcg/dL using any blood specimens for screening.",,,,,,,,,0.077,0.041,0.033,0.025,0.023,0.017,0.017,0.015,0.015,0.013,0.013
Child Health,"Pedestrian and Bicycle Crashes Involving Children per 100,000 Children, < 18 Years of Age",,Rate,Pennsylvania Department of Transportation,2011-2016,"Rate of child-involved pedestrian and bicyclist crashes involving motor vehicles per 100,000 children under 18.",,,,,,,,,,,,,,200.100,180.900,198.800,175.000,156.500,170.000
Child Health,"Child Mortality Rate per 100,000 Children, < 18 Years of Age",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2014,"Age-adjusted mortality rate per 100,000 children under 18 years of age.",,See PDPH Vital Statistics Reports for causes of death by age: http://www.phila.gov/health/commissioner/VitalStatistics.html,86.000,92.000,89.000,84.400,89.200,91.100,87.500,95.000,82.700,77.200,78.800,65.500,78.600,63.900,63.800,,
Access to Care,"Adults Without Insurance, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-64 years old, reporting no source of insurance.",,,0.096,,0.126,,0.144,,0.144,,0.158,,0.161,,0.185,,,0.124,
Access to Care,"Children Without Insurance, < 18 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,Percentage of children under 18 for whom no source of insurance is reported by adult proxy.,,,0.035,,0.054,,0.068,,0.059,,0.051,,0.049,,0.046,,,0.039,
Access to Care,"Adults Covered by Medicaid, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-64 years, reporting insurance coverage through Medicaid, Medical Assistance (M.A.), HealthChoices, or Access Card.",,,0.180,,0.155,,0.156,,0.167,,0.190,,0.188,,0.200,,,0.221,
Access to Care,"Adults Forgoing Care Due to Cost, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-64 years, answering ""yes"" to the question, ""In the past year, has there been any time when you were sick or injured AND did not seek health care because of the cost?""",,,0.099,,,,0.125,,0.137,,0.172,,0.161,,0.185,,,0.134,
Access to Care,"Ambulatory Care Sensitive Hospitalization Rate per 100,000 People, < 75 Years of Age",,Rate,Pennsylvania Health Care Cost Containment Council,2005-2015,"Age-adjusted rate per 100,000 persons for conditions where appropriate ambulatory care prevents or reduces the need for admission to the hospital, for population under 75 years of age. ",,"The methods for calculating ambulatory care sensitive hospitalizations have been updated since prior reports, and all data years have been recalculated.",,,,,,1760.100,1867.300,1871.800,1831.300,1762.500,1596.000,1537.500,1469.800,1396.300,1418.100,1378.000,
Access to Care,"Children with Dental Visit in Past Year, 3-17 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of children, age 3-17 years, for whom adult proxy reported dental visit in past 12 months.",,,0.716,,0.785,,0.788,,0.818,,0.837,,0.874,,0.820,,,0.884,
Cancer Screening and Prevention,"Cancer Mortality per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2014,"Age-adjusted rate of cancer deaths per 100,000 persons.",,,249.700,250.300,240.300,243.300,231.300,222.800,228.100,223.100,211.800,219.100,203.300,214.700,206.800,197.200,199.900,,
Cancer Screening and Prevention,"Adults with Colonoscopy or Sigmoidoscopy in Lifetime, 50-74 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2002-2014/15,"Percentage of adults, age 50-74 years, reporting ever having had a colonoscopy or sigmoidoscopy.",,,,,0.546,,0.520,,0.585,,0.635,,0.676,,0.746,,,0.726,
Cancer Screening and Prevention,"Women with Mammography in Past 2 Years, 50-74 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of women, age 50-74 years, reporting having had a mammogram in the past 2 years.",,,0.841,,0.839,,0.827,,0.811,,0.821,,0.827,,0.830,,,0.825,
Cancer Screening and Prevention,"Girls Completing 3-Dose HPV Vaccine, 13-17 Years of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2008-2016,"Percentage of girls, age 13-17 years, who received 3 doses of HPV vaccine out of all girls 13-17 years in the population.",,"Data are based on local reporting of immunizations provided by clinicians, and some underreporting for adolescents may occur.",,,,,,,,,0.084,0.143,0.184,0.212,0.380,0.416,0.541,0.541,0.540
Environmental Health,Food Establishments in Compliance with Food Safety Regulations Upon Initial Annual Inspection,,Percentage,"Environmental Health Services, Philadelphia Department of Public Health",2010-2016,Percentage of food establishments in compliance with food safety regulations upon initial annual inspection by the Philadelphia Department of Public Health.,,Data are by fiscal year.,,,,,,,,,,,0.360,0.350,0.390,0.585,0.559,0.505,0.565
Environmental Health,"Rat Complaints per 10,000 People",,Rate,"Environmental Health Services, Philadelphia Department of Public Health",2011-2016,"Rate of rat complaint calls to the Philadelphia Department of Public Health per 10,000 residents.",,"The methods for calculating rat complaints per 10,000 people have been updated slightly since prior reports, and all data years have been recalculated.",,,,,,,,,,,,19.100,18.600,19.100,16.900,17.300,21.100
Environmental Health,Days with Good Air Quality,,Count,"United States Environmental Protection Agency (EPA) AMP410S report dated 6/28/16, as reported by Air Management Services, Philadelphia Department of Public Health",2000-2016,"Number of days of the year with Air Quality Index (AQI) levels of 0-50, wherein air quality is considered satisfactory and air pollution poses little or no risk. AQI is a scale from 0 to 500, reflecting measures of ground-level ozone, particulate matter, carbon monoxide, sulfur dioxide, and nitrogen dioxide. The reporting is based on 2015 Environmental Protection Agency standards.",The definition for moderate and unhealthy air quality has been corrected from previous reports.,,137.000,98.000,121.000,142.000,134.000,148.000,147.000,136.000,128.000,183.000,171.000,155.000,135.000,166.000,132.000,177.000,179.000
Environmental Health,Days with Moderate Air Quality,,Count,"United States Environmental Protection Agency (EPA) AMP410S report dated 6/28/16, as reported by Air Management Services, Philadelphia Department of Public Health",2000-2016,"Number of days of the year with Air Quality Index (AQI) levels of 51-100, wherein air quality is considered acceptable but for some pollutants there may be a moderate health concern for a very small number of people. AQI is a scale from 0 to 500, reflecting measures of ground-level ozone, particulate matter, carbon monoxide, sulfur dioxide, and nitrogen dioxide. The reporting is based on 2015 Environmental Protection Agency standards.",The definition for moderate and unhealthy air quality has been corrected from previous reports.,,200.000,214.000,183.000,184.000,200.000,177.000,174.000,189.000,210.000,174.000,166.000,190.000,203.000,189.000,224.000,172.000,178.000
Environmental Health,Days with Unhealthy Air Quality,,Count,"United States Environmental Protection Agency (EPA) AMP410S report dated 6/28/16, as reported by Air Management Services, Philadelphia Department of Public Health",2000-2016,"Number of days of the year with Air Quality Index (AQI) levels of 101-500, wherein air quality is considered “unhealthy to sensitive people” to “hazardous”, and everyone may begin to experience some adverse health effects.  AQI is a scale from 0 to 500, reflecting measures of ground-level ozone, particulate matter, carbon monoxide, sulfur dioxide, and nitrogen dioxide. The reporting is based on 2015 Environmental Protection Agency standards.",The definition for moderate and unhealthy air quality has been corrected from previous reports.,,29.000,53.000,61.000,39.000,32.000,40.000,44.000,40.000,28.000,8.000,28.000,20.000,28.000,10.000,9.000,16.000,9.000
Environmental Health,"Philadelphia Building Construction and Occupancy Code Violations per 1,000 Occupied Housing Units",,Rate,City of Philadelphia Licenses and Inspections,2007-2016,"Rate of Philadelphia Building Construction and Occupancy Code violations per 1,000 occupied housing units. Violations are based on follow-up inspections to complaints filed through Philly 311.",,,,,,,,,,199.200,218.900,164.700,164.800,180.300,181.700,182.900,190.000,185.400,193.400
Violence,"Violent Crime Rate per 100,000 People",,Rate,FBI Uniform Crime Reports,2000-2015,"Rate per 100,000 persons of reported violent crimes, including murders and non-negligent manslaughters, forcible rapes, robberies, and aggravated assaults.",,,1503.200,1409.700,1315.900,1378.400,1408.300,1467.100,1562.500,1475.400,1441.300,1238.200,1214.600,1193.300,1160.100,1099.300,1021.500,1029.000,
Violence,"Homicide Mortality Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2003-2016,"Rate of homicide deaths per 100,000 persons.",,Data do include deaths of residents who died outside of Philadelphia.,,,,22.000,21.200,24.000,25.200,24.400,21.200,19.500,19.100,20.500,21.200,15.500,15.300,17.800,17.800
Violence,"Firearm Homicide Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2003-2016,"Rate of intentional deaths by discharge of firearm per 100,000 persons.",,Data do include deaths of residents who died outside of Philadelphia.,,,,17.300,16.900,20.600,22.100,20.800,18.400,15.800,15.300,17.100,17.800,12.600,12.900,15.400,14.900
