Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Note,Central,Central Northeast,Lower Far Northeast,Lower North,Lower Northeast,Lower Northwest,Lower South,Lower Southwest,North,North Delaware,River Wards,South,University-Southwest,Upper Far Northeast,Upper North,Upper Northwest,West,West Park,Central SS,Central Northeast SS,Lower Far Northeast SS,Lower North SS,Lower Northeast SS,Lower Northwest SS,Lower Southwest SS,North SS,North Delaware SS,River Wards SS,South SS,University-Southwest SS,Upper Far Northeast SS,Upper North SS,Upper Northwest SS,West SS,West Park SS
HIV,New HIV Diagnoses From Male-to-Male Sexual Contact,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,Percentage of new HIV diagnoses from male-to-male sexual contact.,,"Omitted due to insufficient sample size: Lower Far Northeast, Lower Northwest.",0.690,0.142,0.000,0.500,0.360,0.500,N/A,0.333,0.450,0.444,0.500,0.750,0.680,N/A,0.653,0.666,0.571,0.631,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
HIV,New HIV Diagnoses From Heterosexual Contact,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,Percentage of new HIV diagnoses from heterosexual contact.,,"Omitted due to insufficient sample size: Lower Far Northeast, Lower Northwest.",0.214,0.857,1.000,0.500,0.600,0.500,N/A,0.583,0.375,0.444,0.375,0.208,0.280,N/A,0.285,0.266,0.392,0.368,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
HIV,New HIV Diagnoses From Injection Drug Use,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Percentage of new HIV diagnoses from injection drug use. ",,"Omitted due to insufficient sample size: Lower Far Northeast, Lower Northwest.",0.071,0.000,0.000,0.000,0.000,0.000,N/A,0.000,17.500,0.111,0.125,0.020,0.000,N/A,0.000,0.000,0.035,0.000,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
HIV,"New HIV Diagnoses From ""Other"" Transmission Category",,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Percentage of new HIV diagnoses from ""other"" transmission category.",,"Omitted due to insufficient sample size: Lower Far Northeast, Lower Northwest.",0.023,0.000,0.000,0.000,0.040,0.000,N/A,0.083,0.000,0.000,0.000,0.020,0.040,N/A,0.060,0.060,0.000,0.000,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
HIV,Retention in HIV/AIDS Care,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Percentage of persons living with diagnosed HIV having had 2 or more CD4 or viral load test results, at least 3 months apart, during a 12 month period.",,The data displayed for North Delaware includes persons who were diagnosed or received treatment in the Philadelphia Prison System. Inclusion of these individuals may artificially inflate HIV prevalence resulting in artificially lowered HIV retention rates.,0.433,0.550,0.534,0.530,0.565,0.458,N/A,0.537,0.536,0.398,0.527,0.551,0.519,0.594,0.608,0.545,0.560,0.581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HIV,Viral Suppression,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Percentage of persons diagnosed living with HIV, who were alive at year end and had a viral load < 200 at most recent test. Persons diagnosed living with HIV whose viral load was not assessed were considered unsuppressed.",,"The data displayed for North Delaware includes persons who were diagnosed or received treatment in the Philadelphia Prison System. Inclusion of these individuals may artificially inflate HIV prevalence resulting in artificially lowered HIV viral suppression rates. ",0.501,0.651,0.589,0.540,0.609,0.517,N/A,0.586,0.558,0.417,0.586,0.625,0.554,0.644,0.653,0.593,0.600,0.603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Teen Sexual Health,"Teen Chlamydia Rate per 100,000 Teens, 15-19 Years of Age",,Rate,"Division of Disease Control, Philadelphia Department of Public Health",2015,"Diagnosed chlamydia infection rate per 100,000 teens age 15-19 years.",,," 3,596.7 "," 1,913.2 "," 927.1 "," 4,921.7 "," 4,946.5 "," 1,476.6 ",N/A," 6,311.9 "," 7,157.3 "," 3,329.0 "," 4,058.1 "," 3,609.1 "," 2,471.0 "," 866.8 "," 5,859.8 "," 6,843.2 "," 8,252.7 "," 4,415.7 ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Teen Sexual Health,"Teen Gonorrhea rate per 100,000 Teens, 15-19 Years of Age",,Rate,"Division of Disease Control, Philadelphia Department of Public Health",2015,"Diagnosed gonorrhea infection rate per 100,000 teens age 15-19 years.",,," 1,014.4 "," 390.9 "," 48.8 "," 1,412.0 "," 1,091.9 "," 164.1 ",N/A," 1,585.1 "," 1,797.1 "," 712.3 "," 625.9 "," 902.3 "," 763.8 "," 57.8 "," 1,480.9 "," 1,741.9 "," 2,305.2 "," 1,400.1 ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maternal and Infant Health,Low Birth Weight Births,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Percentage of live-born infants weighing less than 2,500 grams - or 5 pounds 8 ounces - at birth.",,The methods for calculating low birth weights have been updated since prior reports.,0.090,0.081,0.070,0.129,0.108,0.083,N/A,0.115,0.118,0.093,0.101,0.084,0.124,0.079,0.129,0.114,0.135,0.109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maternal and Infant Health,Late or No Prenatal Care,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Percentage of women who received prenatal care either in the third trimester or not at all, out of all women for whom the timing of prenatal care is known.",,,0.093,0.096,0.069,0.178,0.138,0.041,N/A,0.195,0.154,0.085,0.140,0.213,0.154,0.091,0.153,0.136,0.161,0.119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maternal and Infant Health,Breastfeeding Initiation,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Percentage of women initiating breastfeeding before hospital discharge, out of all women for whom breastfeeding status is known.",,The methods for calculating breastfeeding initiation have been updated since prior reports.,0.922,0.740,0.665,0.610,0.679,0.887,N/A,0.727,0.592,0.650,0.634,0.799,0.760,0.827,0.676,0.742,0.708,0.823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Child Health,"Children Up to Date on Immunizations, 19-35 Months of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2015,"Percentage of children, age 19-35 months, who have completed the recommended vaccination schedule 4:3:1:3 (DTaP : IPV : MMR : Hib).",,,0.705,0.773,0.668,0.763,0.777,0.757,N/A,0.760,0.773,0.772,0.774,0.816,0.769,0.618,0.778,0.762,0.778,0.722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Child Health,"Newly Identified Elevated Blood Lead Levels (5-9 mcg/dL) in Children, < 6 Years of Age",,Percentage,"Pennsylvania's National Electronic Disease Surveillance System (PA-NEDSS), as reported by Environmental Health Services, Philadelphia Department of Public Health",2015,"Percentage of children, 0-5 years old, with newly identified blood lead levels (BLLs) from 5-9 mcg/dL using any blood specimens for screening.
",,,0.023,0.026,0.010,0.067,0.050,0.033,N/A,0.044,0.064,0.025,0.058,0.040,0.060,0.011,0.064,0.082,0.064,0.044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Child Health,"Newly Identified Elevated Blood Lead Levels (10+ mcg/dL) in Children, < 6 Years of Age",,Percentage,"Pennsylvania's National Electronic Disease Surveillance System (PA-NEDSS), as reported by Environmental Health Services, Philadelphia Department of Public Health",2015,"Percentage of children, 0-5 years old, with newly identified blood lead levels (BLLs) at or above 10 mcg/dL using any blood specimens for screening.
",,,0.005,0.003,0.001,0.018,0.013,0.009,N/A,0.011,0.016,0.007,0.014,0.007,0.020,0.000,0.016,0.023,0.019,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Child Health,"Pedestrian and Bicycle Crashes per 100,000 Children, < 18 Years of Age",,Rate,Pennsylvania Department of Transportation,2015,"Rate of pedestrian and bicyclist crashes involving motor vehicles per 100,000 children under 18.",,," 3,228.4 "," 296.1 "," 202.2 "," 709.5 "," 386.2 "," 499.3 ",N/A," 424.3 "," 588.6 "," 401.6 "," 527.4 "," 736.8 "," 1,291.2 "," 295.0 "," 406.5 "," 403.6 "," 555.7 "," 564.4 ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Access to Care,"Adults Without Insurance, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults, age 18-64 years, reporting no source of insurance.",,"Caution low sample size: Lower Far Northeast, Central Northeast, Lower Northeast, West, South, Lower Southwest. Omitted due to insufficient sample size: Lower Northwest, West Park, Lower North, University/Southwest.",0.026,0.104,0.139,N/A,0.130,N/A,N/A,0.111,0.166,0.098,0.099,0.158,N/A,0.023,0.092,0.048,0.191,N/A,1,2,2,3,2,3,2,1,1,1,2,3,1,1,1,2,3
Access to Care,"Adults Covered by Medicaid, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults, age 18-64 years, reporting insurance coverage through Medicaid, Medical Assistance (M.A.), HealthChoices, or Access Card.",,"Caution low sample size: Upper Northwest, Upper North, Lower Northeast, North, West, University/Southwest, South. Omitted due to insufficient sample size: Upper Far Northeast, River Wards, Lower North, West park, Lower Southwest.",0.066,0.067,0.062,N/A,0.156,0.090,N/A,N/A,0.409,0.126,N/A,0.194,0.157,N/A,0.255,0.268,0.313,N/A,1,1,1,3,2,1,3,2,1,3,2,2,1,2,2,2,3
Access to Care,"Adults Forgoing Care Due to Cost, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,"Percentage of adults, age 18-64 years, answering ""yes"" to the question, ""In the past year, has there been any time when you were sick or injured AND did not seek health care because of the cost?""",,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates. Caution low sample size: River Wards. Omitted due to insufficient sample size: West Park. 
",0.107,0.132,0.167,0.114,0.172,0.100,N/A,0.083,0.198,0.166,0.257,0.164,0.195,0.102,0.156,0.133,0.177,N/A,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3
Cancer Screening and Prevention,"Girls Completing 3-Dose HPV Vaccine, 13-17 Years of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2015,"Percentage of girls, age 13-17 years, who received 3 doses of HPV vaccine out of all girls 13-17 years in the population.",,"Data are based on local reporting of immunizations provided by clinicians, and some underreporting for adolescents may occur.",0.566,0.484,0.461,0.578,0.543,0.562,N/A,0.564,0.608,0.466,0.511,0.592,0.533,0.420,0.543,0.515,0.558,0.495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Environmental Health,Food Establishments in Compliance with Food Safety Regulations Upon Initial Annual Inspection,,Percentage,"Environmental Health Services, Philadelphia Department of Public Health",2015,Percentage of food establishments in compliance with food safety regulations upon initial annual inspection by the Philadelphia Department of Public Health.,,Some establishments included in the overall compliance rate are not included in the planning district dimension due to non-permanent locations.,0.478,0.678,0.648,0.430,0.432,0.519,N/A,0.468,0.400,0.484,0.593,0.458,0.619,0.695,0.515,0.498,0.488,0.373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Environmental Health,"Rat Complaints per 10,000 People",,Rate,"Environmental Health Services, Philadelphia Department of Public Health",2015,"Rate of rat complaint calls to the Philadelphia Department of Public Health per 10,000 residents.",,,13.0,7.6,8.7,28.3,12.8,7.7,N/A,12.7,42.0,19.8,39.5,24.9,7.8,3.3,9.0,11.4,11.7,9.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Environmental Health,"Philadelphia Building Construction and Occupancy Code Violations per 1,000 Occupied Housing Units",,Rate,City of Philadelphia Licenses and Inspections,2015,"Rate of Philadelphia Building Construction and Occupancy Code violations per 1,000 occupied housing units. Violations are based on follow-up inspections to complaints filed through Philly 311.",,,81.7,111.4,80.8,460.1,237.7,237.7,29.2,149.8,252.6,277.1,216.4,162.5,147.8,50.9,152.5,132.4,243.1,126.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Violence,"Homicide Mortality Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2015,"Rate of homicide deaths per 100,000 persons.",,,3.4,3.6,2.8,37.2,20.1,0,0,31.8,36.4,9.7,25.2,9.5,18.5,1.5,14.7,18.6,32.9,22.5,,,,,,,,,,,,,,,,,
Violence,"Firearm Homicide Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2015,"Rate of intentional deaths by discharge of firearm per 100,000 persons.",,,4.2,1.2,2.8,35,17,0,0,31.8,30.1,6.5,20.8,8.8,13.6,1.5,12.8,17.5,29.2,18,,,,,,,,,,,,,,,,,
Mental Health and Substance Abuse,Adults with Diagnosed Mental Health Condition,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,"Percentage of adults answering ""yes"" to the question, ""Have you ever been diagnosed with any mental health condition, including clinical depression, anxiety disorder or bipolar disorder?""",,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates. Omitted due to insufficient sample size: West Park.",0.163,0.161,0.177,0.289,0.150,0.165,N/A,0.139,0.264,0.196,0.367,0.213,0.225,0.134,0.164,0.215,0.224,N/A,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3
Mental Health and Substance Abuse,"Opioid-Related Mortality Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2015,"Rate of deaths per 100,000 persons that were determined by the medical examiner to be caused by drug/medication overdose and for which a toxicology test was positive for an opioid.",,"Opioids include heroin, morphine, methadone, and all prescriptions opioids such as codeine, hydrocodone, and oxycodone.",4.2,1.2,2.8,35.0,17.0,0.0,0.0,31.8,30.1,6.5,20.8,8.8,13.6,1.5,12.8,17.5,29.2,18.0,,,,,,,,,,,,,,,,,
Built Environment,Low-to-no Walkable Access to Healthy Foods and High Poverty,,Percentage,"Get Healthy Philly, Philadelphia Department of Public Health",2014,Percentage of population living in high-poverty areas with low-to-no walkable access to healthy foods as assessed in PDPH's [Food Access Report](http://www.phila.gov/health/pdfs/WalkableAccessHealthyFood20122014.pdf).,,Please note that data definitions and sources differ across dimensions for this indicator.,0.078,0.087,0.067,0.388,0.255,0.171,N/A,0.362,0.344,0.200,0.264,0.231,0.179,0.147,0.200,0.247,0.275,0.329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Built Environment,Access to Nearby Parks or Outdoor Space,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2012-2015,"Percentage of adults responding yes to the question, “Is there a park or other outdoor space in your neighborhood that you’re comfortable visiting during the day?”",,"Two years of Household Health Survey data (2012 and 2014/15) were combined to provide more reliable estimates by planning district, therefore these numbers are not directly comparable with previous estimates. Caution low sample size: Lower Southwest.",0.897,0.717,0.773,0.660,0.706,0.860,N/A,0.696,0.607,0.782,0.747,0.743,0.726,0.742,0.627,0.819,0.700,0.701,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2
Built Environment,"Pedestrian and Bicycle Crashes per 100,000 People",,Rate,Pennsylvania Department of Transportation,2015,"Rate of pedestrian and bicyclist crashes involving motor vehicles per 100,000 persons.",,,302,70.2,44.9,167.3,112.3,75.4,N/A,115,178.5,93.7,126.1,151.9,191.7,53.1,102.7,87.3,145.3,103.7,,,,,,,,,,,,,,,,,
Social Determinants of Health,"Adults Completing Some College, ≥ 25 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 5-year estimates",2014,"Percentage of adults, 25 years or older, who completed at least some college.",,Please note that data years differ across dimensions for this indicator.,0.737,0.373,0.362,0.531,0.472,0.662,N/A,0.364,0.278,0.411,0.684,0.500,0.354,0.329,0.391,0.496,0.517,0.472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Social Determinants of Health,"Unemployment, ≥16 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 5-year estimates",2014,"Percentage of population, 16 years or older, who are unemployed but seeking work.",,Please note that data sources and years differ across dimensions for this indicator.,0.063,0.122,0.110,0.208,0.187,0.075,N/A,0.177,0.247,0.169,0.194,0.141,0.132,0.088,0.197,0.145,0.202,0.134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Social Determinants of Health,Philadelphians Living in Poverty,,Percentage,"US Census Bureau, American Community Survey, 5-year estimates",2014,Percentage of population with an income below 100% of the federal poverty level (FPL).,,"In 2014, the FPL was equivalent to a yearly income of no more than $11,670 for an individual, or $23,850 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.144,0.155,0.097,0.460,0.300,0.142,N/A,0.290,0.463,0.186,0.320,0.235,0.402,0.119,0.250,0.230,0.344,0.279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Social Determinants of Health,"Children Living in Poverty, < 18 years of age",,Percentage,"US Census Bureau, American Community Survey, 5-year estimates",2014,Percentage of children under 18 with a family income below 100% of the federal poverty level (FPL).,,"In 2014, the FPL was equivalent to a yearly income of no more than $11,670 for an individual, or $23,850 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.134,0.182,0.136,0.537,0.108,0.108,N/A,0.389,0.599,0.267,0.504,0.352,0.408,0.129,0.332,0.273,0.473,0.330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Social Determinants of Health,"Children in Single-Parent Households, < 18 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 5-year estimates",2014,Percentage of all children in family households that live in a household headed by a single parent (male or female head of household with no spouse present).,,,0.262,0.341,0.278,0.793,0.602,0.240,N/A,0.620,0.765,0.402,0.631,0.443,0.645,0.182,0.640,0.490,0.809,0.613,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Social Determinants of Health,Social Capital,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014,"Percentage of adults reporting ""yes"" to, ""Have people in your neighborhood ever worked together to improve the neighborhood? For example, through a neighborhood watch, creating a community garden, building a community playground, or participating in a block party.""",,"Caution low sample size: Upper Far Northeast, Lower Northwest, River Wards, Lower Southwest. Omitted due to insufficient sample size: West Park. ",0.791,0.432,0.547,0.722,0.534,0.624,N/A,0.593,0.661,0.649,0.667,0.656,0.775,0.402,0.711,0.788,0.731,N/A,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,3
