Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Notes,Total population,"Black, non-Hispanic","White, non-Hispanic",Hispanic,"Asian, non-Hispanic"
Obesity,"Child Obesity Prevalence, Female, 5-18 Years of Age",,Percentage,School District of Philadelphia,2012-2013,"Percentage of female children, 5 to 18 years, enrolled in the School District of Philadelphia (SDP) with a body mass index (BMI) greater than or equal to the 95th percentile for their age and gender group based on 2000 Centers for Disease Control growth charts. BMI data are based on nurse-measured heights and weights.",,Data are by school year.,0.205,0.222,0.177,0.230,0.088
Obesity,Adult Obesity Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults with BMI greater than or equal to 30kg/m2, based on self-reported height and weight.",,"Caution low sample size: Asian, non-Hispanic.",0.333,0.401,0.293,0.321,0.098
Obesity,Adults Drinking ≥ 1 Sugary Drink Daily,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults who drank soda, sweetened fruit drinks, and/or bottled teas at least once a day for past 30 days. Respondents were instructed “do not include diet soda/drinks.”
",,"Examples provided to respondents included Coke, 7-Up, Snapple, Hugs, lemonade, and Kool-Aid. Caution low sample size: Asian, non-Hispanic.",0.316,0.394,0.227,0.413,0.197
Obesity,"Teens Drinking ≥ 1 Soda Daily, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,Percentage of 9th-12th grade students who drank soda at least once a day for past 30 days. Respondents were instructed “Do not count diet soda or diet pop.”,,"Examples provided to respondents included Coke, Pepsi, and Sprite.",0.216,0.240,0.168,0.242,0.127
Cardiovascular Disease and Diabetes,Adult Hypertension Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,Percentage of adults who have been told by a doctor or other health professional that they have high blood pressure or hypertension. Excludes respondents with a history of gestational hypertension only.,,"Caution low sample size: Asian, non-Hispanic.",0.382,0.480,0.339,0.317,0.117
Cardiovascular Disease and Diabetes,Adult Diabetes Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,Percentage of adults who have been told by a doctor or other health professional that they have or have had diabetes. Excludes respondents with a history of gestational diabetes only.,,"Caution low sample size: Asian, non-Hispanic.",0.154,0.188,0.136,0.140,0.075
HIV,"New HIV Diagnoses per 100,000 People",,Rate,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Rate of new HIV diagnoses per 100,000 of the population.",,,35.3,60.5,10.0,40.5,11.5
HIV,New HIV Diagnoses from Male-to-Male Sexual Contact,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,Percentage of new HIV diagnoses from male-to-male sexual contact.,,,0.565,0.574,0.660,0.473,0.454
HIV,New HIV Diagnoses from Heterosexual Contact,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,Percentage of new HIV diagnoses from heterosexual contact.,,,0.351,0.371,0.160,0.368,0.454
HIV,New HIV Diagnoses from Injection Drug Use,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,Percentage of new HIV diagnoses from injection drug use.,,,0.055,0.025,0.142,0.144,0.090
HIV,Retention in HIV/AIDS Care,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Percentage of persons living with diagnosed HIV having had 2 or more CD4 or viral load test results, at least 3 months apart, during a 12 month period.",,,0.500,0.504,0.437,0.472,0.510
HIV,Viral Suppression,,Percentage,"HIV Surveillance Data, AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2015,"Percentage of persons diagnosed living with HIV, who were alive at year end and had a viral load < 200 at most recent test. Persons diagnosed living with HIV whose viral load was not assessed were considered unsuppressed.",,,0.538,0.533,0.515,0.505,0.547
HIV,"Adults Never Tested for HIV, 18-39 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults, age 18-39 years, reporting ""never"" to the question, ""The next question is about the test for HIV, the virus that causes AIDS. About how long has it been since you last had a test for HIV? Would you say one year or less, more than one year, up to two years, more than 2 years, or never?""",,"Caution low sample size: Asian, non-Hispanic.",0.256,0.150,0.321,0.204,0.525
Teen Sexual Health,"Teens Who are Currently Sexually Active, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,Percentage of 9th-12th grade students who reported having had sexual intercourse during the past 3 months.,,,0.372,0.438,0.308,0.343,0.158
Teen Sexual Health,"Teens Who Used a Condom with Last Sexual Encounter, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,Percentage of sexually active 9th-12th grade students who reported using a condom during their most recent sexual intercourse. Respondents are considered sexually active if they report intercourse with at least one person in the three months preceding the survey.,,Data missing for some race/ethnic subgroups due to small sample size.,0.559,0.566,,,
Teen Sexual Health,"Teens Who Used Birth Control with Last Sexual Encounter, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,Percentage of sexually active 9th-12th grade students who used some form of birth control during the most recent sexual intercourse. Respondents are considered sexually active if they report intercourse with at least one person in the three months preceding the survey.,,Data missing for some race/ethnic subgroups due to small sample size.,0.829,0.824,,,
Teen Sexual Health,"Teen Births per 1,000 Teens, 15-19 Years of Age",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Birth rate per 1,000 teen girls age 15-19 years.",,"Data missing for some race/ethnic subgroups due to small sample size. Caution low sample size: White, non-Hispanic. ",38.4,48.1,13.3,62.6,
Maternal and Infant Health,"Infant Mortality Rate per 1,000 Live Births",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2011-2013,"Mortality rate per 1,000 live-born infants under one year of age.",,"Three years of data were combined to provide more reliable estimates by race/ethnicity, therefore these numbers are not directly comparable with previous estimates. Data missing for some race/ethnic subgroups due to small sample size.",9.2,13.9,5.1,5.9,
Maternal and Infant Health,Low Birth Weight Births,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Percentage of live-born infants weighing less than 2,500 grams - or 5 pounds 8 ounces - at birth.",,The methods for calculating low birth weights have been updated since prior reports.,0.107,0.135,0.072,0.089,0.079
Maternal and Infant Health,Late or No Prenatal Care,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Percentage of women who received prenatal care either in the third trimester or not at all, out of all women giving birth within the year, for whom the timing of prenatal care is known.",,,0.139,0.164,0.088,0.150,0.119
Maternal and Infant Health,Breastfeeding Initiation,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Percentage of women initiating breastfeeding before hospital discharge, out of all women for whom breastfeeding status is known.",,The methods for calculating breastfeeding initiation have been updated since prior reports.,0.714,0.669,0.778,0.686,0.791
Child Health,"Children Up to Date on Immunizations, 19-35 Months of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2015,"Percentage of children, age 19-35 months, who have completed the recommended vaccination schedule 4:3:1:3 (DTaP : IPV : MMR : Hib).",,,0.761,0.782,0.759,0.801,0.786
Child Health,"Asthma Hospitalization Rate per 10,000 Children, <18 Years of Age",,Rate,Pennsylvania Health Care Cost Containment Council,2014,"Age-adjusted rate of hospital discharges with a primary diagnosis of asthma per 100,000 children under 18.",,"Caution low sample size: Asian, non-Hispanic. The methods for calculating asthma hospitalization have been updated since prior reports and are not comparable to previous years.",71.0,86.6,13.8,69.8,26.5
Access to Care,"Adults Without Insurance, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults, age 18-64 years, reporting no source of insurance.",,"Caution low sample size: Asian, non-Hispanic.",0.124,0.135,0.073,0.246,0.079
Access to Care,"Children Without Insurance, <18 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,Percentage of children under 18 for whom no source of insurance is reported by adult proxy.,,"Caution low sample size: Asian, non-Hispanic.",0.039,0.030,0.018,0.084,0.083
Access to Care,"Adults Covered by Medicaid, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults, age 18-64 years, reporting insurance coverage through Medicaid, Medical Assistance (M.A.), HealthChoices, or Access Card.",,"Caution low sample size: Asian, non-Hispanic.",0.221,0.324,0.104,0.238,0.190
Access to Care,"Adults Forgoing Care Due to Cost, 18-64 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults, age 18-64 years, answering ""yes"" to the question, ""In the past year, has there been any time when you were sick or injured AND did not seek health care because of the cost?""",,"Caution low sample size: Asian, non-Hispanic.",0.134,0.141,0.110,0.183,0.137
Access to Care,"Children with Dental Visit in Past Year, 3-17 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of children, age 3-17 years, for whom adult proxy reported dental visit in past 12 months.",,"Caution low sample size: Asian, non-Hispanic.",0.884,0.864,0.907,0.900,0.890
Cancer Screening and Prevention,"Cancer Mortality per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2013,"Age-adjusted rate of cancer deaths per 100,000 persons.",,Data missing for some race/ethnic subgroups due to small sample size.,197.2,223.5,188.1,,
Cancer Screening and Prevention,"Adults with Colonoscopy or Sigmoidoscopy in Lifetime, 50-74 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults, age 50-74 years, reporting ever having had a colonoscopy or sigmoidoscopy.",,"Caution low sample size: Asian, non-Hispanic.",0.726,0.759,0.698,0.695,0.771
Cancer Screening and Prevention,"Women with Mammography in Past 2 Years, 50-74 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of women, age 50-74 years, reporting having had a mammogram in the past 2 years.",,"Caution low sample size: Asian, non-Hispanic.",0.825,0.876,0.762,0.815,0.898
Cancer Screening and Prevention,"Girls Completing 3-dose HPV Vaccine, 13-17 Years of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2015,"Percentage of girls, age 13-17 years, who received 3 doses of HPV vaccine out of all girls 13-17 years in the population.",,"Data are based on local reporting of immunizations provided by clinicians, and some underreporting for adolescents may occur.",0.539,0.558,0.482,0.631,0.604
Violence,"Homicide Mortality Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2015,"Rate of homicide deaths per 100,000 persons.",,,17.8,33.2,2.5,21.9,2.6
Violence,"Firearm Homicide Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2015,"Rate of intentional deaths by discharge of firearm per 100,000 persons.",,,16.2,29.4,1.1,19.2,2.7
Mental Health and Substance Abuse,"Teens Considering Suicide in Past Year, 9th-12th grade",,Percentage,Youth Risk Behavior Survey (YRBS),2015,Percentage of 9th-12th grade students who seriously considered attempting suicide in past 12 months.,,,0.140,0.119,0.147,0.162,0.098
Mental Health and Substance Abuse,Adults with Diagnosed Mental Health Condition,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults answering ""yes"" to the question, ""Have you ever been diagnosed with any mental health condition, including clinical depression, anxiety disorder or bipolar disorder?""",,"Caution low sample size: Asian, non-Hispanic.",0.208,0.185,0.230,0.296,0.007
Mental Health and Substance Abuse,"Opioid-Related Mortality Rate per 100,000 People",,Rate,"Medical Examiner's Office, Philadelphia Department of Public Health",2015,"Rate of deaths per 100,000 persons that were determined by the medical examiner to be caused by drug/medication overdose and for which a toxicology test was positive for an opioid.",,"Opioids include heroin, morphine, methadone, and all prescriptions opioids such as codeine, hydrocodone, and oxycodone.",32.7,22.5,53.3,31.0,2.7
Built Environment,Limited Access to Healthy Foods,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,Percentage of adults reporting that it is “difficult” or “very difficult” to find fruit and vegetables in their neighborhood.,,"Caution low sample size: Asian, non-Hispanic. Please note that data definitions and sources differ across dimensions for this indicator.",0.079,0.107,0.039,0.124,0.030
Built Environment,Access to nearby parks or outdoor space,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults responding yes to the question, “Is there a park or other outdoor space in your neighborhood that you’re comfortable visiting during the day?”",,"Caution low sample size: Asian, non-Hispanic.",0.731,0.722,0.753,0.696,0.757
Social Determinants of Health,Advanced or Proficient English Language Arts (ELA) Achievemet in 3rd Grade,,Percentage,School District of Philadelphia,2014-2015,Percentage of 3rd graders who score at the advanced or proficient levels as assessed by the Pennsylvania System of School Assessment (PSSA) standardized test.,,Data are by school year.,0.333,0.271,0.534,0.268,0.517
Social Determinants of Health,"On-Time High School Graduation, Females",,Percentage,School District of Philadelphia as reported by The Notebook,2014-2015,Percentage of all students who graduate from high school within four years after starting 9th grade.,,Data are by school year.,,0.705,0.765,0.613,0.864
Social Determinants of Health,"On-Time High School Graduation, Males",,Percentage,School District of Philadelphia as reported by The Notebook,2014-2015,Percentage of all students who graduate from high school within four years after starting 9th grade.,,Data are by school year. ,,0.567,0.613,0.472,0.759
Social Determinants of Health,"Adults Completing Some College, ≥ 25 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2015,"Percentage of adults, 25 years or older, who completed at least some college.", ,"Please note that data years differ across dimensions for this indicator.
",0.500,0.437,0.573,0.310,0.527
Social Determinants of Health,"Unemployment, ≥ 16 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2014,"Percentage of population, 16 years or older, who are unemployed but seeking work.", ,Please note that data sources and years differ across dimensions for this indicator.,0.128,0.183,0.073,0.165,0.069
Social Determinants of Health,Philadelphians Living in Poverty,,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2015,Percentage of population with an income below 100% of the federal poverty level (FPL)., ,"In 2015, the FPL was equivalent to a yearly income of no more than $11,770 for an individual, or $24,250 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.258,0.315,0.178,0.392,0.263
Social Determinants of Health,"Children Living in Poverty, < 18 Years of Age",,Percentage,"US Census Bureau, American Community Survey, 1-year estimates",2015,Percentage of children under 18 with a family income below 100% of the federal poverty level (FPL)., ,"In 2015, the FPL was equivalent to a yearly income of no more than $11,770 for an individual, or $24,250 for a family of 4. Please note that data years differ across dimensions for this indicator.",0.383,0.459,0.238,0.503,0.349
Social Determinants of Health,Social Capital,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2014/15,"Percentage of adults reporting ""yes"" to, ""Have people in your neighborhood ever worked together to improve the neighborhood? For example, through a neighborhood watch, creating a community garden, building a community playground, or participating in a block party.""",,"Caution low sample size: Asian, non-Hispanic.",0.652,0.722,0.634,0.526,0.476
